ADDRESS,RACKS,SPACES,COORDINATES/0,COORDINATES/1
1800 MCALLISTER ST,1,2,-122.4420428,37.77747422
1813 FULTON ST,1,2,-122.44678,37.775598
1821 HAIGHT ST,1,2,-122.452306,37.769035
1821 SACRAMENTO ST,1,2,-122.422995,37.790817
1825 MARKET ST,1,2,-122.424053,37.771076
1841 POLK ST,1,2,-122.421649,37.793836
1870 FILLMORE ST,1,2,-122.43307745,37.78658977
1900 GEARY BLVD,1,2,-122.436322,37.784378
1900 POLK ST,1,2,-122.42124,37.794339
1906 MARKET ST,1,2,-122.425406,37.770641
2 GOETTINGEN ST,1,2,-122.40887449,37.7311286
200 WEST PORTAL AVE,1,2,-122.4683996,37.73893208
201 OCEAN AVE,1,2,-122.441394,37.723133
2023 MISSION ST,1,2,-122.419104,37.764429
203 OCTAVIA ST,1,2,-122.424323,37.773993
2040 POLK ST,1,2,-122.421498,37.795678
2040 UNION ST,1,2,-122.432964,37.797697
2041 MARKET ST,1,2,-122.427527,37.768193
2060 FILLMORE ST,1,2,-122.433583,37.788698
2083 UNION ST,1,2,-122.433485,37.797088
2120 POLK ST,1,2,-122.42151,37.796372
2125 CHESTNUT ST,1,2,-122.438202,37.800324
2141 POLK ST,1,2,-122.422173,37.796487
2156 CHESTNUT ST,1,2,-122.438854,37.800706
2159 FILBERT ST,1,2,-122.434908,37.797832
2169 FOLSOM ST,1,2,-122.414658,37.762822
2195 FILLMORE ST,1,2,-122.434286,37.789598
2200 OFARRELL ST,1,2,-122.44112487,37.78246242
2208 POLK ST,1,2,-122.421736,37.797161
2216 FILLMORE ST,1,2,-122.433802,37.790106
2217 UNION ST,1,2,-122.43585,37.796896
2222 TARAVAL ST,1,2,-122.490045,37.742666
2225 FILLMORE ST,1,2,-122.434381,37.790209
2257 MARKET ST,1,2,-122.43184,37.764764
2301 HARRISON ST,1,2,-122.412376,37.7601
2312 MARKET ST,1,2,-122.433797,37.763992
2312 VICENTE ST,1,2,-122.491832,37.738815
2344 MARKET ST,1,2,-122.434294,37.763629
2367 MARKET ST,1,2,-122.434352,37.762839
2400 FOLSOM ST,1,2,-122.41503,37.758739
2404 27TH AVE,1,2,-122.484069,37.74243416
2435 MISSION ST,1,2,-122.418642,37.758062
2449 BALBOA ST,1,2,-122.485243,37.776071
2543 24TH ST,1,2,-122.40503993,37.75285141
2568 JONES ST,1,2,-122.416597,37.805023
2574 SAN BRUNO AVE,1,2,-122.40448,37.729025
2600 18TH ST,1,2,-122.408479,37.762136
2601 MARIPOSA ST,1,2,-122.409719,37.762611
2699 19TH AVE,1,2,-122.47590099,37.73836627
2701 17TH ST,1,2,-122.41082772,37.76408775
2717 JUDAH ST,1,2,-122.491272,37.760824
2727 MARIPOSA ST,1,2,-122.410735,37.762687
2733 MISSION ST,1,2,-122.418183,37.753266
2778 24TH ST,1,2,-122.40780565,37.75310691
2794 CALIFORNIA ST,1,2,-122.440297,37.788342
2799 24TH ST,1,2,-122.40802206,37.75264806
28 WEST PORTAL AVE,1,2,-122.466416,37.740678
2801 BRYANT ST,1,2,-122.408824,37.749598
2834 DIAMOND ST,1,2,-122.434244,37.734059
2885 DIAMOND ST,1,2,-122.433837,37.733771
290 DOLORES ST,1,2,-122.426696,37.764854
2900 HARRISON ST,1,2,-122.411788,37.751051
2929 19TH ST,1,2,-122.411364,37.760124
295 CHANNEL ST,2,2,-122.391629,37.774378
295 ORIZABA AVE,1,2,-122.462921,37.714077
298 MUNICH ST,1,2,-122.427002,37.721102
2991 SACRAMENTO ST,1,2,-122.44190783,37.78872944
300 CHANNEL ST,3,3,-122.39268338,37.77344684
300 NAPLES ST,1,2,-122.428874,37.723938
3000 SAN BRUNO AVE,1,2,-122.402354,37.723812
301 BRAZIL AVE,1,2,-122.432146,37.723674
3010 CLEMENT ST,1,2,-122.491601,37.781957
3119 MISSION ST,1,2,-122.418308,37.747512
313 NOE ST,1,2,-122.43275,37.763907
3140 BALBOA ST,1,2,-122.492786,37.776168
3159 16TH ST,1,2,-122.4233,37.76457
316 CLEMENT ST,1,2,-122.462662,37.783276
3160 16TH ST,1,2,-122.423249,37.765062
3170 16TH ST,1,2,-122.42338851,37.76508342
3199 FILLMORE ST,1,2,-122.436129,37.798791
3239 22ND ST,1,2,-122.41952097,37.75519153
3252 PIERCE ST,1,2,-122.439174,37.800176
330 FELL ST,1,2,-122.423369,37.776067
3318 24TH ST,1,2,-122.418804,37.752399
3338 17TH ST,1,2,-122.420699,37.763598
3422 25TH ST,1,2,-122.41864883,37.75079553
345 WILLIAMS AVE,1,2,-122.399247,37.729805
350 PARNASSUS AVE,1,2,-122.456228,37.764235
3655 LAWTON ST,1,2,-122.502228,37.756666
366 BAY SHORE BLVD,1,2,-122.40666128,37.74174378
372 HAYES ST,1,2,-122.422689,37.777141
375 WOODSIDE AVE,1,2,-122.456145,37.748644
380 SANCHEZ ST,1,2,-122.43107719,37.76310605
3801 18TH ST,1,2,-122.428521,37.761089
3870 24TH ST,1,2,-122.429057,37.751842
388 MARKET ST,1,2,-122.398167,37.792217
3936 24TH ST,1,2,-122.430435,37.751758
3950 SACRAMENTO ST,1,2,-122.458077,37.787219
3991 24TH ST,1,2,-122.431622,37.751244
40 PAGE ST,1,2,-122.4215957,37.77445063
400 CORTLAND AVE,1,2,-122.417686,37.738953
400 DEWEY BLVD,1,2,-122.459522,37.747388
400 POST ST,1,2,-122.40883,37.788494
4045 24TH ST,1,2,-122.432847,37.751123
405 FLORIDA ST,1,2,-122.41082772,37.76408775
406 CLEMENT ST,1,2,-122.463777,37.783225
4063 18TH ST,1,2,-122.434192,37.760748
4097 19TH AVE,1,2,-122.470277,37.714472
4100 24TH ST,1,2,-122.43438,37.751437
4166 24TH ST,1,2,-122.435577,37.751451
417 SOUTH VAN NESS AVE,1,2,-122.417305,37.766483
4170 MISSION ST,1,2,-122.430007,37.730143
4230 MISSION ST,1,2,-122.430752,37.729666
425 HYDE ST,1,2,-122.416504,37.784804
427 SOUTH VAN NESS AVE,1,2,-122.417412,37.766403
4448 CALIFORNIA ST,1,2,-122.465377,37.785153
45 WEST PORTAL AVE,1,2,-122.465958,37.740186
4645 MISSION ST,1,2,-122.434925,37.723923
4705 03RD ST,1,2,-122.390172,37.735004
479 CASTRO ST,1,2,-122.434682,37.76133
483 14TH ST,1,2,-122.423994,37.767863
494 BROADWAY ST,1,2,-122.40528183,37.79826282
498 HAYES ST,1,2,-122.424508,37.776796
50 BELCHER ST,1,2,-122.430485,37.768516
50 FELL ST,1,2,-122.418811,37.776719
510 CHURCH ST,1,2,-122.428641,37.762712
518 VALENCIA ST,1,2,-122.422144,37.764497
521 CLEMENT ST,1,2,-122.46493927,37.78267621
539 HAYES ST,1,2,-122.425264,37.776398
541 OCTAVIA ST,1,2,-122.424957,37.777257
544 JONES ST,1,2,-122.412782,37.786362
558 CAPP ST,1,2,-122.418186,37.757717
562 GREEN ST,1,2,-122.40841,37.799763
564 CASTRO ST,1,2,-122.435272,37.759912
567 GOLDEN GATE AVE,1,2,-122.41994287,37.78083159
575 OFARRELL ST,1,2,-122.41407009,37.78546652
5799 MISSION ST,1,2,-122.450323,37.709481
580 CALIFORNIA ST,1,2,-122.40414,37.792968
598 CASTRO ST,1,2,-122.435147,37.7594
6 JOOST AVE,1,2,-122.435114,37.732507
600 HARRISON ST,1,2,-122.395913,37.784132
601 DIVISADERO ST,1,2,-122.438042,37.775154
609 COLE ST,1,2,-122.450926,37.769263
631 HOWARD ST,1,2,-122.398556,37.786043
640 CLAY ST,1,2,-122.403864,37.794793
644 IRVING ST,1,2,-122.46497256,37.76427718
651 DIVISADERO ST,1,2,-122.43798,37.775682
657 MISSION ST,1,2,-122.40084,37.78671
701 BATTERY ST,1,2,-122.401153,37.797721
701 HOWARD ST,1,2,-122.400813,37.783513
730 MARKET ST,1,2,-122.404371,37.787432
730 POLK ST,1,2,-122.419007,37.783819
731 IRVING ST,1,2,-122.465801,37.763814
735 HAIGHT ST,1,2,-122.43423,37.771408
746 ARGUELLO BLVD,2,4,-122.458215,37.776354
